file,apk_entry,sha256_16,duplicates,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,layerish_reasons
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0012__res__drawable-nodpi-v5__calendar_10_1.png,res/drawable-nodpi-v5/calendar_10_1.png,720a39e2dc22716f,62240,229,192,192,0.0,1.0,0.0,1,0.0,low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0011__res__drawable-mdpi-v4__notify_panel_notification_icon_bg.png,res/drawable-mdpi-v4/notify_panel_notification_icon_bg.png,0d773e62c7564223,1,98,15,15,0.0,1.0,0.0,2,10.93,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0006__res__drawable-hdpi-v4__notify_panel_notification_icon_bg.png,res/drawable-hdpi-v4/notify_panel_notification_icon_bg.png,8430ec003e003f3f,1,107,14,14,0.0,1.0,0.0,2,9.56,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0017__res__drawable-xhdpi-v4__notify_panel_notification_icon_bg.png,res/drawable-xhdpi-v4/notify_panel_notification_icon_bg.png,b44eeda34d7a529c,1,138,30,30,0.0,1.0,0.0,2,8.2,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0001__res__drawable-hdpi-v4__notification_bg_low_normal.9.png,res/drawable-hdpi-v4/notification_bg_low_normal.9.png,21f0b55280be10b1,1,212,12,12,0.0,1.0,0.0,3,4.26,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0003__res__drawable-hdpi-v4__notification_bg_normal.9.png,res/drawable-hdpi-v4/notification_bg_normal.9.png,0c6328c7b2420570,1,212,12,12,0.0,1.0,0.0,3,4.26,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0007__res__drawable-mdpi-v4__notification_bg_low_normal.9.png,res/drawable-mdpi-v4/notification_bg_low_normal.9.png,2f7fbda0ba6e53e9,1,215,8,8,0.0,1.0,0.0,3,3.49,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0009__res__drawable-mdpi-v4__notification_bg_normal.9.png,res/drawable-mdpi-v4/notification_bg_normal.9.png,a8676a1793ac8310,1,215,8,8,0.0,1.0,0.0,3,3.49,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0013__res__drawable-xhdpi-v4__notification_bg_low_normal.9.png,res/drawable-xhdpi-v4/notification_bg_low_normal.9.png,3e09afa21c45372c,1,221,16,16,0.0,1.0,0.0,5,3.87,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0015__res__drawable-xhdpi-v4__notification_bg_normal.9.png,res/drawable-xhdpi-v4/notification_bg_normal.9.png,559bf783d765c023,1,221,16,16,0.0,1.0,0.0,5,3.87,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0008__res__drawable-mdpi-v4__notification_bg_low_pressed.9.png,res/drawable-mdpi-v4/notification_bg_low_pressed.9.png,e17761ed280edd93,1,223,8,8,0.0,1.0,0.0,3,3.38,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0010__res__drawable-mdpi-v4__notification_bg_normal_pressed.9.png,res/drawable-mdpi-v4/notification_bg_normal_pressed.9.png,99c14d6855b8be29,1,223,8,8,0.0,1.0,0.0,3,3.33,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0002__res__drawable-hdpi-v4__notification_bg_low_pressed.9.png,res/drawable-hdpi-v4/notification_bg_low_pressed.9.png,42aee0b03883e94d,1,225,12,12,0.0,1.0,0.0,3,4.41,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0004__res__drawable-hdpi-v4__notification_bg_normal_pressed.9.png,res/drawable-hdpi-v4/notification_bg_normal_pressed.9.png,18b328d8017e677d,1,225,12,12,0.0,1.0,0.0,3,4.23,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0016__res__drawable-xhdpi-v4__notification_bg_normal_pressed.9.png,res/drawable-xhdpi-v4/notification_bg_normal_pressed.9.png,d27af435101ca4cb,1,247,16,16,0.0,1.0,0.0,6,3.82,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0014__res__drawable-xhdpi-v4__notification_bg_low_pressed.9.png,res/drawable-xhdpi-v4/notification_bg_low_pressed.9.png,20343222f9f79dd5,1,252,16,16,0.0,1.0,0.0,7,4.0,low-colors+low-stddev+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0005__res__drawable-hdpi-v4__notification_oversize_large_icon_bg.png,res/drawable-hdpi-v4/notification_oversize_large_icon_bg.png,aa00088d0d9fd97b,1,909,860,860,0.0,1.0,0.0,50,8.9,low-colors+low-stddev+square+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0020__res__mipmap-mdpi-v4__ic_launcher.webp,res/mipmap-mdpi-v4/ic_launcher.webp,846219e6f72fe9a6,1,982,48,48,0.2279,0.5052,0.2669,1417,47.43,alpha+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0018__res__mipmap-hdpi-v4__ic_launcher.webp,res/mipmap-hdpi-v4/ic_launcher.webp,dd00996198640ed2,1,1404,72,72,0.2687,0.5625,0.1688,1763,80.74,alpha+square
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0021__res__mipmap-mdpi-v4__ic_launcher_round.webp,res/mipmap-mdpi-v4/ic_launcher_round.webp,4e2c58b91de01130,1,1772,48,48,0.2227,0.5642,0.2131,1696,55.38,alpha+square+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0022__res__mipmap-xhdpi-v4__ic_launcher.webp,res/mipmap-xhdpi-v4/ic_launcher.webp,398340dad816fc9a,1,1900,96,96,0.2799,0.5621,0.158,1804,82.8,alpha+square
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0024__res__mipmap-xxhdpi-v4__ic_launcher.webp,res/mipmap-xxhdpi-v4/ic_launcher.webp,58ae87fa0c5b5d15,1,2884,144,144,0.2953,0.5829,0.1217,1566,83.15,alpha+square
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0019__res__mipmap-hdpi-v4__ic_launcher_round.webp,res/mipmap-hdpi-v4/ic_launcher_round.webp,1ed73f5341a69d3b,1,2898,72,72,0.2483,0.6034,0.1483,2220,83.45,alpha+square+name
D:\AndroidProject\Perficon\extracted\meeye-layer-unique-images\images\0026__res__mipmap-xxxhdpi-v4__ic_launcher.webp,res/mipmap-xxxhdpi-v4/ic_launcher.webp,f98fef5bc3bfe5b6,1,3844,192,192,0.2995,0.593,0.1075,1329,83.31,alpha+square
