apk_entry,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,score,reasons
res/BGS.9.png,190,18,18,0.7778,0.1667,0.0556,3,58.41,10,name:bg+alpha+low-colors
res/BGF.png,17501,192,192,0.1626,0.7161,0.1212,996,103.81,9,name:bg+alpha+square
res/BGp.png,6818,192,192,0.399,0.4814,0.1196,504,69.65,9,name:bg+alpha+square
res/Bg3.png,15098,192,192,0.165,0.7203,0.1147,786,92.34,9,name:bg+alpha+square
res/BgI.png,9994,192,192,0.1653,0.7203,0.1144,780,98.91,9,name:bg+alpha+square
res/DbG.png,14822,192,192,0.1615,0.7203,0.1182,1277,76.2,9,name:bg+alpha+square
res/UBg.png,12683,192,192,0.1653,0.7203,0.1144,991,87.15,9,name:bg+alpha+square
res/WBG.png,20499,192,192,0.1439,0.7203,0.1358,1665,56.78,9,name:bg+alpha+square
res/Zbg.png,22321,192,192,0.1623,0.7161,0.1216,1455,79.57,9,name:bg+alpha+square
res/_BG.png,13983,192,192,0.165,0.7203,0.1147,830,69.4,9,name:bg+alpha+square
res/bGh.png,13332,192,192,0.165,0.7203,0.1147,1171,69.42,9,name:bg+alpha+square
res/bGs.png,14445,192,193,0.1675,0.7166,0.116,962,72.04,9,name:bg+alpha+square
res/bg1.png,11748,192,192,0.165,0.7203,0.1147,940,79.37,9,name:bg+alpha+square
res/dbG.png,17083,192,192,0.1649,0.7203,0.1149,1323,72.23,9,name:bg+alpha+square
res/eBG.png,11911,192,192,0.165,0.7203,0.1147,944,87.13,9,name:bg+alpha+square
res/iBg.png,12166,192,192,0.1653,0.7203,0.1144,1020,81.0,9,name:bg+alpha+square
res/kBG.png,16253,192,192,0.1653,0.7203,0.1144,1333,79.04,9,name:bg+alpha+square
res/mbG.png,10514,192,192,0.1653,0.7203,0.1144,810,69.75,9,name:bg+alpha+square
res/sbg.png,11477,192,192,0.165,0.7203,0.1147,792,85.41,9,name:bg+alpha+square
res/-B9.png,281,64,64,0.7617,0.0576,0.1807,23,0.0,8,alpha+low-colors+low-stddev+square
res/5KT.png,995,192,192,0.951,0.0141,0.0349,50,10.28,8,alpha+low-colors+low-stddev+square
res/6eQ.png,594,144,144,0.4064,0.5871,0.0065,62,0.0,8,alpha+low-colors+low-stddev+square
res/6lY.png,730,144,144,0.7778,0.207,0.0152,92,0.0,8,alpha+low-colors+low-stddev+square
res/75t.png,711,144,144,0.688,0.3006,0.0113,90,0.0,8,alpha+low-colors+low-stddev+square
res/8hL.png,946,128,128,0.7925,0.1663,0.0413,78,0.0,8,alpha+low-colors+low-stddev+square
res/9zF.png,593,96,96,0.6773,0.2339,0.0888,44,0.0,8,alpha+low-colors+low-stddev+square
res/FWy.png,307,96,96,0.8351,0.0803,0.0846,25,0.0,8,alpha+low-colors+low-stddev+square
res/GfA.png,984,96,96,0.832,0.0547,0.1133,69,0.0,8,alpha+low-colors+low-stddev+square
res/GjX.png,1843,512,512,0.9662,0.0152,0.0186,43,7.33,8,alpha+low-colors+low-stddev+square
res/Pbs.png,631,72,72,0.1914,0.7552,0.0534,95,0.0,8,alpha+low-colors+low-stddev+square
res/PeQ.png,605,192,192,0.9603,0.0077,0.032,18,23.49,8,alpha+low-colors+low-stddev+square
res/Thx.png,785,64,64,0.6885,0.0986,0.2129,78,0.0,8,alpha+low-colors+low-stddev+square
res/avM.png,737,192,192,0.9601,0.0124,0.0276,28,9.93,8,alpha+low-colors+low-stddev+square
res/cL9.png,359,192,192,0.9894,0.0097,0.0009,23,33.7,8,alpha+low-colors+low-stddev+square
res/d3e.png,432,64,64,0.6323,0.186,0.1816,38,0.0,8,alpha+low-colors+low-stddev+square
res/ff2.png,3837,192,192,0.165,0.0,0.835,52,0.0,8,alpha+low-colors+low-stddev+square
res/gj2.9.png,237,72,72,0.9167,0.0833,0.0,5,0.0,8,alpha+low-colors+low-stddev+square
res/hF7.png,992,192,192,0.714,0.2709,0.0151,61,0.0,8,alpha+low-colors+low-stddev+square
res/j4u.png,785,128,128,0.8733,0.0955,0.0312,64,0.0,8,alpha+low-colors+low-stddev+square
res/jH2.png,1299,144,144,0.5989,0.3709,0.0303,107,0.0,8,alpha+low-colors+low-stddev+square
res/nf7.png,1208,96,96,0.7387,0.1163,0.145,81,0.0,8,alpha+low-colors+low-stddev+square
res/o_c.png,651,64,64,0.7939,0.0459,0.1602,64,0.0,8,alpha+low-colors+low-stddev+square
res/oiC.png,291,192,192,0.9887,0.0111,0.0002,14,48.2,8,alpha+low-colors+low-stddev+square
res/pk9.png,275,128,128,0.8668,0.1194,0.0138,22,0.0,8,alpha+low-colors+low-stddev+square
res/rNu.png,790,144,144,0.6753,0.3096,0.0151,102,0.0,8,alpha+low-colors+low-stddev+square
res/tGL.png,476,128,128,0.7161,0.2708,0.0132,38,0.0,8,alpha+low-colors+low-stddev+square
res/tWf.png,1843,512,512,0.9662,0.0152,0.0186,43,7.33,8,alpha+low-colors+low-stddev+square
res/u58.png,1446,512,512,0.9702,0.0119,0.0179,62,7.64,8,alpha+low-colors+low-stddev+square
res/xqP.png,1446,512,512,0.9702,0.0119,0.0179,62,7.64,8,alpha+low-colors+low-stddev+square
res/ydx.png,810,144,144,0.7657,0.2191,0.0152,87,0.0,8,alpha+low-colors+low-stddev+square
