file,apk_entry,sha256_16,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,score,reasons
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__BGS.9.png,res/BGS.9.png,aa61229cd7023927,190,18,18,0.7778,0.1667,0.0556,3,58.41,10,name:bg+alpha+low-colors
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__BGF.png,res/BGF.png,73bfac1852875124,17501,192,192,0.1626,0.7161,0.1212,996,103.81,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__BGp.png,res/BGp.png,bab7cce9a9355e43,6818,192,192,0.399,0.4814,0.1196,504,69.65,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Bg3.png,res/Bg3.png,c743f4872e06ab49,15098,192,192,0.165,0.7203,0.1147,786,92.34,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__BgI.png,res/BgI.png,62f5619b8f625bd8,9994,192,192,0.1653,0.7203,0.1144,780,98.91,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__DbG.png,res/DbG.png,2df5b7706cf10324,14822,192,192,0.1615,0.7203,0.1182,1277,76.2,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__UBg.png,res/UBg.png,786b74f083d2a2aa,12683,192,192,0.1653,0.7203,0.1144,991,87.15,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__WBG.png,res/WBG.png,d68dbdd85b4e93bf,20499,192,192,0.1439,0.7203,0.1358,1665,56.78,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Zbg.png,res/Zbg.png,16e1524132010a0d,22321,192,192,0.1623,0.7161,0.1216,1455,79.57,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res___BG.png,res/_BG.png,3161b42c91e817d7,13983,192,192,0.165,0.7203,0.1147,830,69.4,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__bGh.png,res/bGh.png,55bf553a45059c68,13332,192,192,0.165,0.7203,0.1147,1171,69.42,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__bGs.png,res/bGs.png,2b0dc31d96f280d1,14445,192,193,0.1675,0.7166,0.116,962,72.04,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__bg1.png,res/bg1.png,1e24be4a7dc0a478,11748,192,192,0.165,0.7203,0.1147,940,79.37,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__dbG.png,res/dbG.png,9585bcd2f367bade,17083,192,192,0.1649,0.7203,0.1149,1323,72.23,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__eBG.png,res/eBG.png,321e89cbb12ab747,11911,192,192,0.165,0.7203,0.1147,944,87.13,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__iBg.png,res/iBg.png,4b9553c2d2be8c5a,12166,192,192,0.1653,0.7203,0.1144,1020,81.0,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__kBG.png,res/kBG.png,5844f428faf5a5dc,16253,192,192,0.1653,0.7203,0.1144,1333,79.04,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__mbG.png,res/mbG.png,cbd49b664acf58c7,10514,192,192,0.1653,0.7203,0.1144,810,69.75,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__sbg.png,res/sbg.png,420c91906a779097,11477,192,192,0.165,0.7203,0.1147,792,85.41,9,name:bg+alpha+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__-B9.png,res/-B9.png,43ccf1f0a5e9e9ed,281,64,64,0.7617,0.0576,0.1807,23,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__5KT.png,res/5KT.png,e7f3eb0e430ee857,995,192,192,0.951,0.0141,0.0349,50,10.28,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__6eQ.png,res/6eQ.png,a483e3d8192b37a3,594,144,144,0.4064,0.5871,0.0065,62,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__6lY.png,res/6lY.png,141622fac734a560,730,144,144,0.7778,0.207,0.0152,92,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__75t.png,res/75t.png,c9003c02aabd0b17,711,144,144,0.688,0.3006,0.0113,90,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__8hL.png,res/8hL.png,53340b0b0f529b26,946,128,128,0.7925,0.1663,0.0413,78,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__9zF.png,res/9zF.png,71a2ba63a5d4e91f,593,96,96,0.6773,0.2339,0.0888,44,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__FWy.png,res/FWy.png,18620c151330289b,307,96,96,0.8351,0.0803,0.0846,25,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__GfA.png,res/GfA.png,0eed99d0a5e36a46,984,96,96,0.832,0.0547,0.1133,69,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__GjX.png,res/GjX.png,a4ae56c1d424b05e,1843,512,512,0.9662,0.0152,0.0186,43,7.33,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Pbs.png,res/Pbs.png,683691d79ef11e86,631,72,72,0.1914,0.7552,0.0534,95,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__PeQ.png,res/PeQ.png,08e82c30b7ccb89f,605,192,192,0.9603,0.0077,0.032,18,23.49,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__Thx.png,res/Thx.png,02ad0ea6ff5a560e,785,64,64,0.6885,0.0986,0.2129,78,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__avM.png,res/avM.png,0fbbb4a3477bb5fc,737,192,192,0.9601,0.0124,0.0276,28,9.93,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__cL9.png,res/cL9.png,50b96ef3e60dacdf,359,192,192,0.9894,0.0097,0.0009,23,33.7,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__d3e.png,res/d3e.png,2fa524cda78d7ebd,432,64,64,0.6323,0.186,0.1816,38,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__ff2.png,res/ff2.png,1f227f3de0b01e8d,3837,192,192,0.165,0.0,0.835,52,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__gj2.9.png,res/gj2.9.png,d68d03967fb222f7,237,72,72,0.9167,0.0833,0.0,5,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__hF7.png,res/hF7.png,144ebc94d37884ea,992,192,192,0.714,0.2709,0.0151,61,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__j4u.png,res/j4u.png,6002eb56783b956b,785,128,128,0.8733,0.0955,0.0312,64,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__jH2.png,res/jH2.png,0b2857878db04831,1299,144,144,0.5989,0.3709,0.0303,107,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__nf7.png,res/nf7.png,5e0799a0d0b5d43e,1208,96,96,0.7387,0.1163,0.145,81,0.0,8,alpha+low-colors+low-stddev+square
D:\AndroidProject\Perficon\extracted\meeye-real-layer-candidates\images\res__o_c.png,res/o_c.png,d19092254aa4133f,651,64,64,0.7939,0.0459,0.1602,64,0.0,8,alpha+low-colors+low-stddev+square
